"id","x [nm]","y [nm]","sigma [nm]","intensity [photon]","uncertainty_xy [nm]"
230,10465.8793,19373.0481,106.16598,530.17912,15.72859
231,10502.67959,22398.22813,160.75188,1124.94459,16.16392
232,10522.51568,4570.81086,77.76102,410.29463,14.0023
233,10562.80369,23788.07244,142.69555,1926.76773,9.49965
234,10580.93487,6217.35247,161.39391,1698.80782,15.73137
235,10560.00483,9933.16805,59.05676,249.97928,11.71398
236,10521.64967,10766.74155,218.97211,3043.04572,11.30309
237,10599.25276,12584.49557,50.18907,174.51223,11.83276
238,10674.89861,16339.40573,118.29987,1912.22349,12.52862
239,10577.52378,19908.75616,89.93059,419.58653,14.98393
240,10586.28919,23040.11777,70.33693,224.64566,21.38768
241,10829.3012,24262.76042,142.50573,1119.88804,17.31433
242,10629.21315,8912.18391,130.75895,492.80214,27.63227
243,10723.30004,13591.55699,110.20656,403.83082,17.90594
244,10708.67019,13931.37266,97.66878,388.8295,11.39493
245,10676.53165,21626.9746,123.56541,1257.85738,14.2359
246,10820.47914,7748.80766,131.64091,816.84393,12.22784
247,10754.61157,17503.92635,93.39616,467.03953,15.99197
248,10871.6005,11954.64605,65.71967,384.68201,11.48279
249,10794.45111,24256.30486,141.10769,992.79795,15.3082
250,10893.88756,4941.9631,115.96359,546.41443,21.17414
251,10935.17748,6952.70103,93.33586,415.05145,23.21878
252,10878.83093,10095.87552,246.7306,1793.46307,23.8922
253,10936.18615,9922.96258,281.28569,2115.17317,28.79504
254,10950.34398,13217.58488,144.50641,765.85112,13.30182
255,10826.3949,20744.01558,146.58272,1204.46405,12.50275
256,10932.5036,22413.11507,144.58131,1584.73665,15.51377
257,11036.57293,5920.61209,84.25383,537.97233,12.68462
258,10923.10271,15314.54048,216.28394,1598.27184,22.37786
259,10996.74615,16683.19502,134.7627,4104.88049,6.31759
260,11074.60587,10600.41289,136.64927,994.67015,16.43294
261,11084.94512,10893.58042,201.14224,1538.49541,18.51049
262,11210.25349,23904.12297,178.04375,1202.69639,26.22359
263,11129.82044,24775.9364,130.73079,314.29991,23.02718
