"id","x [nm]","y [nm]","sigma [nm]","intensity [photon]","uncertainty_xy [nm]"
483,27202.58534,17687.95936,166.43665,1371.8518,11.23344
484,27399.42574,27678.65878,228.05695,2049.0414,20.62594
485,27275.21239,29003.36711,94.4508,620.1734,14.70665
486,27219.30696,29693.00012,122.86116,416.54247,22.24376
487,27315.6618,14617.27998,163.35118,971.7312,22.32706
488,27390.84564,24949.23815,245.5507,2856.58934,17.11404
489,27390.69407,27622.83748,199.53832,1569.06286,18.83532
490,27477.74686,16012.44329,176.63565,4359.83414,12.09137
491,27426.05948,22677.77779,250.83728,5481.92303,10.27302
492,27334.72775,23779.352,199.16112,1844.21909,17.40664
493,27288.01266,28481.75551,539.03501,48703.43212,4.51763
494,27334.77976,11460.41111,113.63876,1413.47316,16.39778
495,27491.75099,13921.62436,130.94957,570.70251,18.95994
496,27515.66218,18864.82762,517.47383,43308.76775,5.35895
497,27453.10428,24280.2923,77.83935,306.60569,17.50083
498,27323.79742,27744.64921,717.28289,78480.41583,6.39234
499,27541.88373,13368.69431,169.8107,1961.87423,14.47442
500,27520.18532,25587.20847,535.36213,44108.91131,5.56829
501,27643.70247,30562.25252,226.00209,5335.14139,8.65172
502,27733.8451,20583.76569,224.08108,3282.48403,10.08982
503,27575.14047,24888.0695,422.57652,30142.60645,6.48928
504,27593.09138,17993.49903,281.95138,7464.71884,8.42625
505,27576.0059,18618.80555,464.11314,35510.81156,5.20258
506,27631.05228,21120.92304,509.16591,28877.95962,7.96911
507,27821.22441,23093.37205,196.99852,2968.01638,11.27642
508,27656.66026,26021.02688,101.37173,565.46621,15.93552
509,27702.45486,16158.47021,282.16244,22516.52111,5.4015
510,27866.94461,29784.55262,88.78919,307.02014,20.25
511,27772.29091,11939.87734,118.14815,1381.50114,18.38003
512,27870.38848,14139.70795,138.2953,942.86901,18.24775
513,27794.84127,16983.49072,421.81389,24885.73213,5.07028
514,27855.10357,19536.51144,120.25486,877.90768,15.84683
515,27901.1073,22901.15075,127.21836,963.77069,14.1127
516,27853.33065,28326.57297,116.07791,744.75122,15.04357
517,27896.16694,29089.33101,97.21743,344.56611,15.59311
518,27947.28037,30438.94561,390.07801,23818.03147,8.13947
519,27944.98699,12850.07968,135.87238,1013.989,16.42378
520,27854.20038,17356.9007,206.15617,1562.94792,23.70504
521,27909.87508,24828.17385,301.74155,6389.0327,10.41474
522,28178.20532,30185.20583,114.50348,814.35706,19.50577
523,28079.18623,12171.72673,118.7039,1622.2418,15.45149
524,28321.86075,15038.17355,146.95733,766.81952,20.95253
525,28220.63951,26718.38472,98.63136,488.20729,20.36539
526,28433.63405,18889.33826,162.39119,1720.51107,10.36797
527,28386.47704,21547.49107,222.14355,3857.12591,11.07109
528,28297.61624,28042.48781,368.4421,11626.87303,9.00875
529,28295.22767,12476.10957,122.19735,1656.41159,17.67645
530,28441.59878,21761.9216,444.75901,35494.06963,4.92435
531,28319.68646,26648.20379,194.54042,1497.42299,23.97641
532,28408.93647,27739.62816,154.79113,1305.73777,18.77766
533,28458.23331,31103.23179,245.56484,7919.0638,7.7859
534,28492.85464,13140.95624,178.27058,1454.29614,11.85458
535,28512.78757,20995.1363,166.75892,1642.04829,12.34472
536,28612.4828,24706.15985,157.9827,1179.68481,14.05705
537,28466.62663,28495.99004,111.87647,779.64549,14.38573
538,28407.28418,29694.91392,537.68436,44527.14484,6.04465
539,28489.58981,30485.84085,56.95124,201.31178,17.54446
540,28493.86462,30495.58043,73.29982,306.92102,18.58611
541,28782.43072,24851.2642,542.0295,43443.89341,6.00062
542,28651.30229,26998.50913,129.80527,717.46105,25.54065
543,28551.29996,29848.27239,403.6839,15496.01442,8.52311
544,28597.79445,12971.57963,129.5573,2227.88689,16.33715
545,28676.49978,14064.16315,421.53513,19188.37514,6.10269
546,28688.55584,14962.79257,151.57381,2618.39246,7.02984
547,28728.56273,19451.0174,90.17632,330.87025,20.97139
548,28743.67322,25674.81567,436.78693,37456.99095,4.28542
549,28856.32193,19968.17098,428.25222,24904.25559,4.87917
550,28851.84376,23151.92741,65.76462,224.6921,16.29767
551,28839.58977,25917.72589,283.54512,8371.62815,10.24113
552,28961.80063,17764.29109,275.89624,9115.34681,10.32397
553,29035.51751,18540.90092,132.44793,669.7187,25.25198
554,29048.77214,22380.58914,118.04954,1277.74855,10.03342
555,28988.65406,23533.00966,136.10783,751.28286,18.98054
556,28972.96097,27321.31627,142.23294,1320.62094,16.94681
557,29034.90072,17291.57061,170.73722,2148.35771,10.57858
558,29007.85959,24987.54328,315.92435,11129.13339,7.064
559,28996.92135,30718.42068,238.77606,3468.36653,9.97903
560,29160.6991,24437.89437,156.89152,1385.82305,14.87026
561,29066.97547,27787.89715,341.18697,15809.87874,6.71673
562,29203.40874,15710.33332,103.59107,335.69133,16.29474
