id,x [nm],y [nm],sigma [nm],intensity [photon],uncertainty_xy [nm],x_px,y_px,sigma_px,mean_intensity,Outlier
555,14501.05537,20005.00235,145.15913,13003.39482,8.63646,252,341,2,0.05490196078431372,False
556,14547.30745,20273.55133,95.10439,5052.48369,9.39798,253,345,2,0.18649237472766883,False
558,14545.88051,12121.95044,105.12311,3789.96295,13.89266,253,207,2,0.0710239651416122,False
560,14607.18078,18618.59505,160.40578,11284.36304,11.34911,254,317,3,0.0828235294117647,False
562,14618.90927,18842.59184,91.37004,6226.70192,9.79353,254,321,2,0.05533769063180828,False
565,14697.50615,19175.93592,143.52226,9808.37112,8.54894,256,327,2,0.07363834422657951,False
566,14742.00205,8840.15632,94.71718,7001.71006,6.66771,256,151,2,0.118082788671024,False
568,14832.7817,15215.18783,154.73785,8735.21328,10.95301,258,259,3,0.09411764705882353,False
570,14691.76255,20161.87401,170.38731,8680.79367,11.99035,256,343,3,0.10164705882352942,False
572,14947.72107,18186.98539,94.24552,3554.2796,12.23569,260,310,2,0.05185185185185185,False
575,14974.78173,13277.54378,78.61029,3044.25378,10.80445,260,226,1,0.10980392156862745,False
579,15001.7684,9889.59688,118.36158,9044.46212,7.42119,261,168,2,0.1084967320261438,False
586,15215.06161,7969.71374,75.0285,1173.18003,16.07358,265,136,1,0.0,False
589,15248.98382,8558.65922,91.16492,4168.05007,13.73873,265,146,2,0.05533769063180828,False
592,15119.91255,9530.03921,98.14405,2120.90563,25.50157,263,162,2,0.03485838779956427,False
593,15135.69245,10014.56008,83.49383,2478.48946,13.75883,263,171,1,0.06666666666666667,False
594,15187.01103,11020.81568,91.7969,4474.48954,8.00722,264,188,2,0.06840958605664488,False
596,15211.81924,15251.86867,178.50111,10519.77893,10.79564,265,260,3,0.07686274509803921,False
597,15248.59966,18261.25209,97.32257,3056.9282,15.4734,265,311,2,0.11938997821350762,False
599,15181.71094,9888.27018,80.85676,2868.65746,11.27694,264,168,1,0.054901960784313725,False
602,15338.75292,8790.40631,155.34189,12839.39073,8.03712,267,150,3,0.11827450980392155,False
603,15463.9253,10541.18725,90.79687,3245.799,11.72969,269,180,2,0.13769063180827887,False
604,15422.63863,19167.762,87.89051,3618.10832,11.25627,268,327,2,0.09411764705882353,False
605,15445.81664,12287.64462,83.72372,3509.20773,11.8338,269,209,1,0.08235294117647059,False
606,15448.20166,12337.06413,99.12209,4834.07031,11.18181,269,210,2,0.10108932461873638,False
609,15529.18457,13763.04635,76.23244,3513.01295,9.97429,270,234,1,0.058823529411764705,False
612,15650.61996,10391.35062,80.85359,2253.70557,12.97148,272,177,1,0.0392156862745098,False
613,15665.03871,10505.72854,108.96255,4169.87725,14.22546,272,179,2,0.06623093681917211,False
614,15638.08395,14835.89402,88.2512,4665.14388,7.53545,272,253,2,0.09978213507625272,False
615,15610.71939,15569.80545,101.49539,4947.16659,10.37618,271,265,2,0.07189542483660132,False
616,15607.90173,16817.50274,90.60418,3991.88855,12.99171,271,286,2,0.08366013071895424,False
618,15693.89526,12626.33659,89.45001,4496.80103,12.56194,273,215,2,0.04793028322440088,False
619,15725.08164,16378.62598,86.80877,3827.45161,10.05294,273,279,1,0.09019607843137256,False
620,15719.7492,19843.04266,100.9167,6797.64492,9.14041,273,338,2,0.0915032679738562,False
621,15865.00078,15968.20662,77.08357,2150.46979,10.75267,276,272,1,0.047058823529411764,False
622,15838.62377,17563.76564,113.75983,7831.5968,8.94817,275,299,2,0.20871459694989106,False
624,15807.6236,9065.20324,77.05983,2703.07712,10.42505,275,154,1,0.050980392156862744,False
625,15790.28554,19210.52001,106.92904,5161.79628,9.1599,275,327,2,0.05185185185185185,False
626,15814.30716,13984.72004,122.6653,4654.02133,16.86841,275,238,2,0.05359477124183007,False
627,15833.35414,18520.67377,92.04343,3153.5695,10.76555,275,316,2,0.037472766884531584,False
628,15824.58987,14532.04667,95.51074,5293.63596,10.27263,275,248,2,0.12461873638344227,False
629,15906.84824,18073.93816,85.04521,3381.88295,12.47451,277,308,1,0.1843137254901961,False
630,15875.38651,20283.88155,114.90956,9043.17182,5.37771,276,346,2,0.09586056644880174,False
631,15921.0636,7594.91118,83.25611,3482.57521,11.19452,277,129,1,0.0392156862745098,False
632,15940.26303,7845.91957,88.16659,4120.91153,10.09816,277,134,2,0.07450980392156864,False
633,15957.21706,11824.75284,127.733,11656.64378,6.23389,278,201,2,0.06840958605664488,False
634,15916.72201,12843.75817,165.49449,25181.97429,5.4838,277,219,3,0.19952941176470587,False
636,15895.0966,16858.4196,86.93822,4886.19422,11.38011,276,287,1,0.027450980392156862,False
