"id","x [nm]","y [nm]","sigma [nm]","intensity [photon]","uncertainty_xy [nm]"
147,8435.45474,11519.03217,98.28404,4433.86522,11.17973
148,8561.76729,13047.16816,92.45759,4405.67206,9.76939
149,8503.53477,9154.91603,114.68366,46561.30823,2.0113
150,8589.87488,13823.03894,49.76268,920.89726,15.14087
151,8590.49971,3239.05484,144.08714,38267.59957,3.45007
152,8535.52909,6552.02678,43.36329,583.38323,9.99615
153,8541.85906,7656.33193,132.47662,6617.38207,9.392
154,8667.49477,10599.73091,96.99676,4750.42369,10.24076
155,8639.58692,10986.97066,105.10524,4663.08227,11.13625
156,8592.97225,11665.39479,96.80111,2815.03684,14.14917
157,8586.96981,7240.76524,67.33161,1614.10033,17.17302
158,8703.33032,6196.67286,36.95689,667.39985,10.58513
159,8612.3317,9848.49122,57.03857,931.37569,12.14671
160,8596.68866,12262.61389,97.21968,5331.58838,13.22883
161,8708.37457,4033.71793,46.13961,1050.20912,7.55769
162,8654.05277,5146.64311,98.36527,4430.53081,13.46722
163,8768.06692,7136.76751,70.81824,1985.89818,13.33773
164,8746.59446,12675.97266,80.87999,3226.44065,9.49044
165,8746.61458,1871.7854,45.37226,477.91224,14.10008
166,8696.42921,2339.73738,101.88199,7112.5066,9.08706
167,8745.54151,2775.41356,117.18077,6108.52068,12.84936
168,8828.78007,5364.07653,116.77742,5046.07888,11.19759
169,8850.89609,8613.08966,102.63229,5604.41678,11.63694
170,8725.86149,11032.74955,113.97476,5097.92069,13.15869
171,8988.43217,4536.05358,99.36561,5008.73337,8.70634
172,8870.10281,6047.85382,40.38562,485.19103,13.96976
173,8919.64647,8292.13619,89.55708,3507.02064,14.76921
174,8798.67944,10730.17425,109.13287,4218.45732,14.86227
175,8899.7346,14006.32672,61.3309,2534.20237,10.19048
176,8969.63621,14764.66414,66.97006,1976.47468,11.75194
177,8930.02002,3492.6097,70.72662,2988.20944,9.14103
178,9100.05413,6661.26949,111.28412,4206.85901,14.79237
179,9037.60399,11426.122,73.19901,1995.25867,13.03975
180,8916.93158,13189.48358,107.25381,5810.74222,12.04825
181,8907.20902,2874.94212,73.29737,2239.17473,11.79418
